Date,Category,Description,Amount,Type
2024-10-01,Food,Grocery,50.75,Expense
2024-10-02,Rent,Monthly Rent,1200.0,Expense
2024-10-02,Utilities,Electricity Bill,60.0,Expense
2024-10-03,Food,Dinner,30.0,Expense
2024-10-04,Transport,Bus Ticket,2.75,Expense
2024-10-05,Food,Breakfast,15.0,Expense
2024-10-06,Income,Salary,2000.0,Income
2024-10-10,Income,Freelance Work,500.0,Income
2024-10-12,Utilities,Water Bill,40.0,Expense
2024-10-15,Food,Lunch,25.0,Expense
2024-10-18,Transport,Taxi,25.0,Expense
2024-10-20,Income,Investment Return,200.0,Income
2024-10-25,Food,Groceries,80.0,Expense
2024-10-30,Food,party,450.0,Expense
2024-11-01,Food,Grocery,50.75,Expense
2024-11-02,Rent,Monthly Rent,1200.0,Expense
2024-11-02,Utilities,Electricity Bill,60.0,Expense
2024-11-03,Food,Dinner,30.0,Expense
2024-11-04,Transport,Bus Ticket,2.75,Expense
2024-11-05,Food,Breakfast,15.0,Expense
2024-11-06,Income,Salary,2000.0,Income
2024-11-10,Income,Freelance Work,500.0,Income
2024-11-12,Utilities,Water Bill,40.0,Expense
2024-11-15,Food,Lunch,25.0,Expense
2024-11-18,Transport,Taxi,25.0,Expense
2024-11-20,Income,Investment Return,200.0,Income
2024-11-25,Food,Groceries,40.0,Expense
2024-11-30,Food,party,45.0,Expense
